,Source,Destination,Capacity,Airline
0,AER,KZN,50,2B
1,ASF,KZN,50,2B
2,ASF,MRV,50,2B
3,CEK,KZN,50,2B
4,CEK,OVB,50,2B
5,DME,KZN,50,2B
6,DME,NBC,50,2B
7,DME,TGK,50,2B
8,DME,UUA,50,2B
9,EGO,KGD,50,2B
10,EGO,KZN,50,2B
11,GYD,NBC,50,2B
12,KGD,EGO,50,2B
13,KZN,AER,50,2B
14,KZN,ASF,50,2B
15,KZN,CEK,50,2B
16,KZN,DME,50,2B
17,KZN,EGO,50,2B
18,KZN,LED,50,2B
19,KZN,SVX,50,2B
20,LED,KZN,50,2B
21,LED,NBC,50,2B
22,LED,UUA,50,2B
23,MRV,ASF,50,2B
24,NBC,DME,50,2B
25,NBC,GYD,50,2B
26,NBC,LED,50,2B
27,NBC,SVX,50,2B
28,NJC,SVX,50,2B
29,NJC,UUA,50,2B
30,NUX,SVX,50,2B
31,OVB,CEK,50,2B
32,OVB,SVX,50,2B
33,SVX,KZN,50,2B
34,SVX,NBC,50,2B
35,SVX,NJC,50,2B
36,SVX,NUX,50,2B
37,SVX,OVB,50,2B
38,TGK,DME,50,2B
39,UUA,DME,50,2B
40,UUA,LED,50,2B
41,UUA,NJC,50,2B
42,BTK,IKT,85.0,2G
43,BTK,OVB,85.0,2G
44,CEK,OVB,85.0,2G
45,HTA,IKT,44.0,2G
46,IKT,BTK,85.0,2G
47,IKT,HTA,44.0,2G
48,IKT,KCK,44.0,2G
49,IKT,ODO,44.0,2G
50,IKT,OVB,85.0,2G
51,IKT,UKX,44.0,2G
52,IKT,ULK,44.0,2G
53,IKT,YKS,85.0,2G
54,KCK,IKT,44.0,2G
55,MJZ,OVB,85.0,2G
56,ODO,IKT,44.0,2G
57,OVB,BTK,85.0,2G
58,OVB,CEK,85.0,2G
59,OVB,IKT,85.0,2G
60,UKX,IKT,44.0,2G
61,ULK,IKT,44.0,2G
62,YKS,IKT,85.0,2G
63,AYP,LIM,112,2I
64,CUZ,LIM,112,2I
65,CUZ,LIM,70,2I
66,CUZ,PEM,112,2I
67,HUU,LIM,70,2I
68,IQT,PCL,128,2I
69,IQT,TPP,112,2I
70,LIM,AYP,112,2I
71,LIM,CUZ,112,2I
72,LIM,CUZ,70,2I
73,LIM,HUU,70,2I
74,LIM,PCL,128,2I
75,LIM,PCL,70,2I
76,LIM,TPP,112,2I
77,LIM,TPP,70,2I
78,PCL,IQT,128,2I
79,PCL,LIM,128,2I
80,PCL,LIM,70,2I
81,PCL,TPP,70,2I
82,PEM,CUZ,112,2I
83,TPP,IQT,112,2I
84,TPP,LIM,112,2I
85,TPP,LIM,70,2I
86,TPP,PCL,70,2I
87,ABJ,BOY,70,2J
88,ABJ,OUA,70,2J
89,ABJ,OUA,70,2J
90,ABJ,OUA,139,2J
91,ACC,OUA,70,2J
92,BKO,ABJ,139,2J
93,BKO,DKR,139,2J
94,BKO,OUA,70,2J
95,BOY,ABJ,70,2J
96,BOY,OUA,70,2J
97,COO,LFW,139,2J
98,COO,OUA,139,2J
99,DKR,BKO,139,2J
100,DKR,OUA,139,2J
101,LFW,OUA,139,2J
102,LFW,OUA,70,2J
103,NIM,OUA,70,2J
104,OUA,ABJ,70,2J
105,OUA,ABJ,70,2J
106,OUA,ABJ,139,2J
107,OUA,ACC,70,2J
108,OUA,BKO,139,2J
109,OUA,BKO,70,2J
110,OUA,BOY,70,2J
111,OUA,COO,139,2J
112,OUA,DKR,139,2J
113,OUA,LFW,70,2J
114,OUA,NIM,70,2J
115,BOG,GYE,124,2K
116,BOG,UIO,124,2K
117,BOG,UIO,150,2K
118,CLO,GYE,124,2K
119,GYE,BOG,124,2K
